segment,sentiment_binary,total_pnl,win_rate,n_trades,avg_size
Aggressive Momentum,Fear,1076211.481456,0.8176946892117171,8398,4049.23540366754
Aggressive Momentum,Greed,324189.43803,0.6451973514489638,11629,3329.2617525152637
Aggressive Momentum,Neutral,427248.118497,0.7570093457943925,3531,3260.5181676578873
Cautious Scalpers,Fear,1236972.909573,0.8942042318307267,1087,16249.816237350506
Cautious Scalpers,Greed,236436.934283,0.38847117794486213,399,20631.630776942355
Cautious Scalpers,Neutral,125650.11674,1.0,245,16607.474530612246
High-Volume Traders,Fear,388057.243484,0.8437821171634121,5838,29987.65568002741
High-Volume Traders,Greed,370895.048697,0.913227169320767,3077,29924.534052648683
High-Volume Traders,Neutral,236363.693665,0.9076118535735038,1721,35641.749860546195
Swing / Position Traders,Fear,1537718.078426,0.8860401637746149,20516,3063.5749624683176
Swing / Position Traders,Greed,1037429.771949,0.904402726561627,17898,2039.076299586546
Swing / Position Traders,Neutral,293084.663193,0.8380050260970423,10346,1922.8542199884014
